province_state,county,inflection_result,inflection_date,slope_max,trust_index
American Samoa,,-1,,,
Guam,,-1,,,
Northern Mariana Islands,,-1,,,
Puerto Rico,,1,2020-04-26,5.6000000000000005,0.6
Virgin Islands,,-1,,,
Alabama,Autauga,-1,,,
Alabama,Baldwin,-1,,,
Alabama,Barbour,-1,,,
Alabama,Bibb,-1,,,
Alabama,Blount,-1,,,
Alabama,Bullock,-1,,,
Alabama,Butler,-1,,,
Alabama,Calhoun,-1,,,
Alabama,Chambers,1,2020-04-22,1.3,1.0
Alabama,Cherokee,-1,,,
Alabama,Chilton,-1,,,
Alabama,Choctaw,-1,,,
Alabama,Clarke,-1,,,
Alabama,Clay,-1,,,
Alabama,Cleburne,-1,,,
Alabama,Coffee,-1,,,
Alabama,Colbert,-1,,,
Alabama,Conecuh,-1,,,
Alabama,Coosa,-1,,,
Alabama,Covington,-1,,,
Alabama,Crenshaw,-1,,,
Alabama,Cullman,-1,,,
Alabama,Dale,-1,,,
Alabama,Dallas,-1,,,
Alabama,DeKalb,-1,,,
Alabama,Elmore,-1,,,
Alabama,Escambia,-1,,,
Alabama,Etowah,1,2020-04-12,0.8,1.0
Alabama,Fayette,-1,,,
Alabama,Franklin,-1,,,
Alabama,Geneva,-1,,,
Alabama,Greene,-1,,,
Alabama,Hale,-1,,,
Alabama,Henry,-1,,,
Alabama,Houston,-1,,,
Alabama,Jackson,-1,,,
Alabama,Jefferson,1,2020-04-30,3.3000000000000003,0.2
Alabama,Lamar,-1,,,
Alabama,Lauderdale,-1,,,
Alabama,Lawrence,-1,,,
Alabama,Lee,1,2020-04-23,1.9000000000000001,0.9
Alabama,Limestone,-1,,,
Alabama,Lowndes,-1,,,
Alabama,Macon,-1,,,
Alabama,Madison,-1,,,
Alabama,Marengo,-1,,,
Alabama,Marion,-1,,,
Alabama,Marshall,-1,,,
Alabama,Mobile,1,2020-05-01,4.5,0.1
Alabama,Monroe,-1,,,
Alabama,Montgomery,-1,,,
Alabama,Morgan,-1,,,
Alabama,Perry,-1,,,
Alabama,Pickens,-1,,,
Alabama,Pike,-1,,,
Alabama,Randolph,-1,,,
Alabama,Russell,-1,,,
Alabama,St. Clair,-1,,,
Alabama,Shelby,1,2020-05-01,1.0,0.1
Alabama,Sumter,-1,,,
Alabama,Talladega,-1,,,
Alabama,Tallapoosa,1,2020-04-19,1.4000000000000001,1.0
Alabama,Tuscaloosa,-1,,,
Alabama,Walker,-1,,,
Alabama,Washington,-1,,,
Alabama,Wilcox,-1,,,
Alabama,Winston,-1,,,
Alabama,Out of AL,-1,,,
Alaska,Aleutians East,-1,,,
Alaska,Aleutians West,-1,,,
Alaska,Anchorage,-1,,,
Alaska,Bethel,-1,,,
Alaska,Bristol Bay,-1,,,
Alaska,Denali,-1,,,
Alaska,Dillingham,-1,,,
Alaska,Fairbanks North Star,-1,,,
Alaska,Haines,-1,,,
