country_region,province_state,inflection_result,inflection_date,slope_max,trust_index
Afghanistan,,1,2020-05-17,10.600000000000001,0.1
Albania,,1,2020-04-02,1.6,1.0
Algeria,,1,2020-04-05,23.200000000000003,1.0
Andorra,,1,2020-04-01,2.8000000000000003,1.0
Angola,,-1,,,
Antigua and Barbuda,,-1,,,
Argentina,,1,2020-05-15,11.8,0.3
Armenia,,0,,,
Australia,Australian Capital Territory,-1,,,
Australia,New South Wales,1,2020-04-07,2.4000000000000004,1.0
Australia,Northern Territory,-1,,,
Australia,Queensland,-1,,,
Australia,South Australia,-1,,,
Australia,Tasmania,1,2020-04-26,1.0,1.0
Australia,Victoria,1,2020-04-04,1.1,1.0
Australia,Western Australia,-1,,,
Australia,,1,2020-04-08,5.0,1.0
Austria,,1,2020-04-10,25.0,1.0
Azerbaijan,,1,2020-04-19,1.5,1.0
Bahamas,,1,2020-04-06,1.1,1.0
Bahrain,,1,2020-05-15,0.9,0.3
Bangladesh,,0,,,
Barbados,,-1,,,
Belarus,,1,2020-05-12,5.1000000000000005,0.6
Belgium,,1,2020-04-12,354.3,1.0
Benin,,-1,,,
Bhutan,,-1,,,
Bolivia,,1,2020-05-15,10.8,0.3
Bosnia and Herzegovina,,1,2020-05-09,5.800000000000001,0.9
Brazil,,1,2020-05-15,815.6,0.3
Brunei,,-1,,,
Bulgaria,,1,2020-05-02,3.2,1.0
Burkina Faso,,1,2020-03-29,2.0,1.0
Cabo Verde,,-1,,,
Cambodia,,-1,,,
Cameroon,,1,2020-05-07,13.200000000000001,1.0
Canada,Alberta,1,2020-05-06,4.7,1.0
Canada,British Columbia,1,2020-04-13,5.0,1.0
Canada,Grand Princess,-1,,,
Canada,Manitoba,-1,,,
Canada,New Brunswick,-1,,,
Canada,Newfoundland and Labrador,-1,,,
Canada,Nova Scotia,1,2020-05-05,3.1,1.0
Canada,Ontario,1,2020-05-06,71.5,1.0
Canada,Prince Edward Island,-1,,,
Canada,Quebec,1,2020-05-02,116.60000000000001,1.0
Canada,Saskatchewan,-1,,,
Canada,Diamond Princess,-1,,,
Canada,Northwest Territories,-1,,,
Canada,Yukon,-1,,,
Canada,,1,2020-05-07,185.5,1.0
Central African Republic,,-1,,,
Chad,,1,2020-05-08,4.6000000000000005,1.0
Chile,,0,,,
China,Anhui,-1,,,
China,Beijing,-1,,,
China,Chongqing,-1,,,
China,Fujian,-1,,,
China,Gansu,-1,,,
China,Guangdong,-1,,,
China,Guangxi,-1,,,
China,Guizhou,-1,,,
China,Hainan,-1,,,
China,Hebei,-1,,,
China,Heilongjiang,1,2020-02-11,1.2000000000000002,1.0
China,Henan,1,2020-02-18,1.9000000000000001,1.0
China,Hong Kong,-1,,,
China,Hubei,1,2020-04-18,387.20000000000005,1.0
China,Hunan,-1,,,
China,Inner Mongolia,-1,,,
China,Jiangsu,-1,,,
China,Jiangxi,-1,,,
China,Jilin,-1,,,
China,Liaoning,-1,,,
China,Macau,-1,,,
China,Ningxia,-1,,,
China,Qinghai,-1,,,
China,Shaanxi,-1,,,
China,Shandong,-1,,,
China,Shanghai,-1,,,
China,Shanxi,-1,,,
China,Sichuan,-1,,,
China,Tianjin,-1,,,
China,Tibet,-1,,,
China,Xinjiang,-1,,,
China,Yunnan,-1,,,
China,Zhejiang,-1,,,
China,,1,2020-04-18,387.20000000000005,1.0
Colombia,,1,2020-05-06,18.400000000000002,1.0
Congo (Brazzaville),,1,2020-05-15,1.2000000000000002,0.3
Congo (Kinshasa),,1,2020-05-16,3.4000000000000004,0.2
Costa Rica,,1,2020-05-16,0.7000000000000001,0.2
Cote d'Ivoire,,1,2020-04-22,1.6,1.0
Croatia,,1,2020-05-01,3.8000000000000003,1.0
Diamond Princess,,1,2020-02-29,0.8,1.0
Cuba,,1,2020-04-26,3.6,1.0
Cyprus,,1,2020-04-02,1.2000000000000002,1.0
Czechia,,1,2020-04-09,11.100000000000001,1.0
Denmark,Faroe Islands,-1,,,
Denmark,Greenland,-1,,,
Denmark,,1,2020-03-24,0.8303030303030301,1.0
Djibouti,,-1,,,
Dominican Republic,,1,2020-04-13,16.5,1.0
Ecuador,,1,2020-05-04,183.9,1.0
Egypt,,1,2020-04-30,19.3,1.0
El Salvador,,1,2020-05-17,2.3000000000000003,0.1
Equatorial Guinea,,-1,,,
Eritrea,,-1,,,
Estonia,,1,2020-04-16,2.9000000000000004,1.0
Eswatini,,-1,,,
Ethiopia,,-1,,,
Fiji,,-1,,,
